year	month	day	hour	minute	second	U(m/s)	V(m/s)
2023	6	3	17	30	0	NaN	NaN
2023	6	3	17	40	0	NaN	NaN
2023	6	3	17	50	0	NaN	NaN
2023	6	3	18	0	0	-3.471448192	2.610084142
2023	6	3	18	10	0	NaN	NaN
2023	6	3	18	20	0	NaN	NaN
2023	6	3	18	30	0	NaN	NaN
2023	6	3	18	40	0	NaN	NaN
2023	6	3	18	50	0	NaN	NaN
2023	6	3	19	0	0	-3.685609997	2.217367157
2023	6	3	19	10	0	NaN	NaN
2023	6	3	19	20	0	NaN	NaN
2023	6	3	19	30	0	NaN	NaN
2023	6	3	19	40	0	NaN	NaN
2023	6	3	19	50	0	NaN	NaN
2023	6	3	20	0	0	-3.773139611	2.469504159
2023	6	3	20	10	0	NaN	NaN
2023	6	3	20	20	0	NaN	NaN
2023	6	3	20	30	0	NaN	NaN
2023	6	3	20	40	0	NaN	NaN
2023	6	3	20	50	0	NaN	NaN
2023	6	3	21	0	0	-3.82397296	2.907569525
2023	6	3	21	10	0	NaN	NaN
2023	6	3	21	20	0	NaN	NaN
2023	6	3	21	30	0	NaN	NaN
2023	6	3	21	40	0	NaN	NaN
2023	6	3	21	50	0	NaN	NaN
2023	6	3	22	0	0	-4.023396101	2.27586657
2023	6	3	22	10	0	NaN	NaN
2023	6	3	22	20	0	NaN	NaN
2023	6	3	22	30	0	NaN	NaN
2023	6	3	22	40	0	NaN	NaN
2023	6	3	22	50	0	NaN	NaN
2023	6	3	23	0	0	-4.995847103	2.674932328
2023	6	3	23	10	0	NaN	NaN
2023	6	3	23	20	0	NaN	NaN
2023	6	3	23	30	0	NaN	NaN
2023	6	3	23	40	0	NaN	NaN
2023	6	3	23	50	0	NaN	NaN
2023	6	4	0	0	0	-4.772060049	2.903941655
2023	6	4	0	10	0	NaN	NaN
2023	6	4	0	20	0	NaN	NaN
2023	6	4	0	30	0	NaN	NaN
2023	6	4	0	40	0	NaN	NaN
2023	6	4	0	50	0	NaN	NaN
2023	6	4	1	0	0	-4.466458373	2.701234389
2023	6	4	1	10	0	NaN	NaN
2023	6	4	1	20	0	NaN	NaN
2023	6	4	1	30	0	NaN	NaN
2023	6	4	1	40	0	NaN	NaN
2023	6	4	1	50	0	NaN	NaN
2023	6	4	2	0	0	-4.222819242	2.903034687
2023	6	4	2	10	0	NaN	NaN
2023	6	4	2	20	0	NaN	NaN
2023	6	4	2	30	0	NaN	NaN
2023	6	4	2	40	0	NaN	NaN
2023	6	4	2	50	0	NaN	NaN
2023	6	4	3	0	0	-4.014974008	3.858071603
2023	6	4	3	10	0	NaN	NaN
2023	6	4	3	20	0	NaN	NaN
2023	6	4	3	30	0	NaN	NaN
2023	6	4	3	40	0	NaN	NaN
2023	6	4	3	50	0	NaN	NaN
2023	6	4	4	0	0	-4.335915925	4.151475632
2023	6	4	4	10	0	NaN	NaN
2023	6	4	4	20	0	NaN	NaN
2023	6	4	4	30	0	NaN	NaN
2023	6	4	4	40	0	NaN	NaN
2023	6	4	4	50	0	NaN	NaN
2023	6	4	5	0	0	-4.360580627	4.64441254
2023	6	4	5	10	0	NaN	NaN
2023	6	4	5	20	0	NaN	NaN
2023	6	4	5	30	0	NaN	NaN
2023	6	4	5	40	0	NaN	NaN
2023	6	4	5	50	0	NaN	NaN
2023	6	4	6	0	0	-4.068815248	4.194103111
2023	6	4	6	10	0	NaN	NaN
2023	6	4	6	20	0	NaN	NaN
2023	6	4	6	30	0	NaN	NaN
2023	6	4	6	40	0	NaN	NaN
2023	6	4	6	50	0	NaN	NaN
2023	6	4	7	0	0	-4.041744233	4.207254142
2023	6	4	7	10	0	NaN	NaN
2023	6	4	7	20	0	NaN	NaN
2023	6	4	7	30	0	NaN	NaN
2023	6	4	7	40	0	NaN	NaN
2023	6	4	7	50	0	NaN	NaN
2023	6	4	8	0	0	-4.145817245	4.151475632
2023	6	4	8	10	0	NaN	NaN
2023	6	4	8	20	0	NaN	NaN
2023	6	4	8	30	0	NaN	NaN
2023	6	4	8	40	0	NaN	NaN
2023	6	4	8	50	0	NaN	NaN
2023	6	4	9	0	0	-4.22973739	4.086627446
2023	6	4	9	10	0	NaN	NaN
2023	6	4	9	20	0	NaN	NaN
2023	6	4	9	30	0	NaN	NaN
2023	6	4	9	40	0	NaN	NaN
2023	6	4	9	50	0	NaN	NaN
2023	6	4	10	0	0	-4.427957375	3.943780044
2023	6	4	10	10	0	NaN	NaN
2023	6	4	10	20	0	NaN	NaN
2023	6	4	10	30	0	NaN	NaN
2023	6	4	10	40	0	NaN	NaN
2023	6	4	10	50	0	NaN	NaN
2023	6	4	11	0	0	-4.866507811	3.983233136
2023	6	4	11	10	0	NaN	NaN
2023	6	4	11	20	0	NaN	NaN
2023	6	4	11	30	0	NaN	NaN
2023	6	4	11	40	0	NaN	NaN
2023	6	4	11	50	0	NaN	NaN
2023	6	4	12	0	0	-4.82259261	4.05261616
2023	6	4	12	10	0	NaN	NaN
2023	6	4	12	20	0	NaN	NaN
2023	6	4	12	30	0	NaN	NaN
2023	6	4	12	40	0	NaN	NaN
2023	6	4	12	50	0	NaN	NaN
2023	6	4	13	0	0	-4.821389454	4.301125291
2023	6	4	13	10	0	NaN	NaN
2023	6	4	13	20	0	NaN	NaN
2023	6	4	13	30	0	NaN	NaN
2023	6	4	13	40	0	NaN	NaN
2023	6	4	13	50	0	NaN	NaN
2023	6	4	14	0	0	-4.976897393	4.265753554
